"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GABRG2",-0.21975357669103,0.0176429574190782,-1.64091404147277,0.100815314819131,0.11908492431996,-5.87777037036337
"C12orf57",-0.21953317972024,0.0072164416115482,-1.63926832316632,0.101157445085598,0.119476546938219,-5.88045524493673
"HYAL1",-0.219383774093169,0.00266312212834423,-1.63815270177337,0.101389898429013,0.119738562274916,-5.88227377121682
"PTK6",0.219344198784885,-0.00863385644607453,1.63785719040997,0.101451543044088,0.119798823669958,-5.88275526413358
"HBD",-0.219291509542994,0.0129478794214067,-1.63746375646385,0.101533660940239,0.119883245750179,-5.88339617288832
"CRBN",0.21902696608669,0.00932074270892486,1.63548839352065,0.101946760823985,0.120358407698758,-5.88661173624466
"DERL3",-0.218902074813873,0.018418213891353,-1.63455582238207,0.102142250101771,0.120576585885989,-5.88812845867063
"CX3CL1",0.218848834431525,0.00170433052867923,1.63415827303482,0.102225676625048,0.120662444749494,-5.88877476512498
"ENTPD8",0.218593526083642,-0.021503553522781,1.63225186923811,0.102626493017831,0.121113260960349,-5.8918718715003
"SEMA3C",0.218587477112403,-0.000884216411943619,1.63220670118217,0.102636004622253,0.121113260960349,-5.89194520680022
"TXNL1",0.218585055767632,-0.00495144653559973,1.63218862084558,0.10263981222218,0.121113260960349,-5.8919745616438
"SPIRE1",0.218527151176387,0.0200332100379667,1.63175624355157,0.102730901514248,0.121208068784405,-5.89267646320054
"ACTR1A",0.218268005069757,-0.0142339724333989,1.62982118296432,0.103139350466163,0.121677257560615,-5.89581547373107
"CHRNA7",-0.218214760461382,-0.00101726281630655,-1.62942360206106,0.103223430788745,0.121763718723409,-5.89645995901896
"SORBS3",0.21813948928377,-0.00196513072190396,1.62886154735359,0.103342386961171,0.121891297520688,-5.89737079083216
"GABRE",0.218132333192673,-0.0112000011115292,1.62880811236273,0.103353701890339,0.121891901163238,-5.8974573679841
"CDH18",-0.218100788642406,0.00737563387058302,-1.62857256718415,0.103403590629435,0.121937992586947,-5.89783897227343
"PRKACB",-0.217980031825644,0.00873524121901842,-1.62767086829391,0.10359474841909,0.122150647550694,-5.89929929523114
"CD79A",-0.217621175887927,0.0188897700815975,-1.62499126800738,0.104164474516389,0.12280958892042,-5.90363419921241
